#{"t_start": 1646622810.51222, "env_id": null}
r,l,t
-5.5,15,15240.506024
-4.5,15,15263.02473
-5.5,15,15305.023962
1.5,15,15345.084408
-5.5,15,15376.823915
-1.5,15,15395.990366
14.0,4,15409.429694
-4.0,15,15434.893719
11.0,8,15454.044172
6.0,12,15485.284175
1.5,15,15508.298628
10.0,8,15527.463978
5.0,13,15553.148359
-15,15,15582.014537
11.0,8,15601.232248
3.0,15,15630.862123
1.5,15,15650.810204
-3.0,15,15669.995065
0.0,15,15696.127604
13.0,6,15712.171165
-1.5,15,15725.311452
1.5,15,15754.598996
-2.5,15,15765.118767
-12.5,15,15797.151384
15.0,4,15813.57298
-4.0,15,15836.119147
-5.5,15,15849.38644
-7.0,15,15875.8412
5.0,13,15903.374465
7.0,12,15926.037197
10.0,9,15942.123836
-9.5,15,15973.755568
1.5,15,16017.961196
-7.0,15,16036.448883
8.0,11,16059.608034
-4.5,15,16075.857533
-3.5,15,16102.887696
-1.0,15,16118.941867
10.0,8,16135.427612
-1.5,15,16153.891929
10.0,8,16167.150093
9.0,9,16186.747792
-2.5,15,16211.455028
-3.0,15,16243.359805
11.0,7,16263.288244
0.0,15,16282.911679
-9.5,15,16299.772557
0.0,15,16325.550013
14.0,5,16341.194705
13.0,5,16354.050178
1.5,15,16392.619864
-3.0,15,16412.131215
-12.5,15,16442.747541
8.0,11,16468.151982
8.0,11,16488.042902
9.0,9,16504.289506
0.0,15,16529.630037
-2.5,15,16549.464999
9.0,10,16568.811609
-1.5,15,16600.163129
-1.5,15,16612.861636
-6.0,15,16635.387275
-8.0,15,16667.598698
-5.5,15,16690.969402
-1.5,15,16735.626691
-15,15,16766.756048
-3.0,15,16779.835351
5.0,14,16809.221332
10.0,9,16832.311541
-8.0,15,16855.403979
15.0,3,16868.863536
-3.0,15,16893.743603
-8.5,15,16929.858735
-8.0,15,16955.263378
-4.0,15,16977.004436
10.0,9,16992.95585
6.0,13,17018.149209
1.5,15,17039.960645
-3.0,15,17084.846948
-8.0,15,17107.220665
-12.5,15,17117.385428
0.5,15,17149.390016
-11.0,15,17170.744986
7.0,12,17190.253626
-8.0,15,17228.617719
-1.5,15,17253.044964
-1.5,15,17294.207994
6.0,12,17312.460779
-5.5,15,17331.092006
-1.0,15,17369.06125
0.5,15,17397.239154
-1.0,15,17422.435068
14.0,5,17438.324138
15.0,4,17454.613471
13.0,5,17467.28002
4.0,14,17499.1398
7.0,12,17538.432858
-4.5,15,17573.962785
1.5,15,17608.341983
10.0,9,17624.855925
6.0,13,17653.635499
0.5,15,17670.618436
11.0,8,17687.009857
11.0,8,17706.256365
15.0,4,17721.872797
14.0,4,17737.600887
0.0,15,17769.003651
14.0,5,17787.919415
13.0,6,17804.496254
1.5,15,17829.393377
0.0,15,17863.278933
-5.5,15,17873.163551
1.5,15,17892.901379
1.5,15,17908.253785
12.0,6,17927.568018
7.0,12,17947.418153
9.0,10,17970.308403
-5.0,15,18002.34498
1.5,15,18033.268736
3.0,15,18059.322433
3.0,15,18099.961898
6.0,13,18128.997244
0.0,15,18160.056584
-3.0,15,18182.298845
9.0,10,18205.543654
4.0,15,18237.217679
